"","Date","StockClose","StockChange","StockPrctChange","StockVolume","VIX","Event","SPY_Close","SPY_Volume"
"3418",2011-03-30,25.61,0.12,0.0047,42000100,17.71,NA,132.77,135895808
"3419",2011-03-29,25.49,0.08,0.0031,40772400,18.16,NA,131.86,129844496
"3420",2011-03-28,25.41,-0.21,-0.0082,48975300,19.44,NA,130.98,109839000
"3421",2011-03-25,25.62,-0.19,-0.0074,57031000,17.91,NA,131.3,155769904
"3422",2011-03-24,25.81,0.27,0.0106,38696600,18,NA,130.9,159238208
"3423",2011-03-23,25.54,0.24,0.0095,44018800,19.17,NA,129.66,148648704
"3424",2011-03-22,25.3,-0.03,-0.0012,30903600,20.21,NA,129.29,129743400
"3425",2011-03-21,25.33,0.53,0.0214,46895000,20.61,NA,129.74,154065200
"3426",2011-03-18,24.8,0.02,8e-04,85486600,24.44,NA,127.76,230654400
"3427",2011-03-17,24.78,-0.01,-4e-04,62506500,26.37,NA,127.85,254521696
"3428",2011-03-16,24.79,-0.6,-0.0236,100718896,29.4,NA,126.18,468560512
"3429",2011-03-15,25.39,-0.3,-0.0117,76064200,24.32,NA,128.56,359794688
"3430",2011-03-14,25.69,0.01,4e-04,54456500,21.13,NA,130.05,235607696
"3431",2011-03-11,25.68,0.27,0.0106,49906800,20.08,NA,130.84,225758496
"3432",2011-03-10,25.41,-0.48,-0.0185,66557500,21.88,NA,129.94,301665696
"3433",2011-03-09,25.89,-0.02,-8e-04,39792300,20.22,NA,132.39,153903392
"3434",2011-03-08,25.91,0.19,0.0074,50555300,19.82,NA,132.58,174706400
"3435",2011-03-07,25.72,-0.23,-0.0089,64987100,20.66,NA,131.43,216900400
"3436",2011-03-04,25.95,-0.25,-0.0095,70397904,19.06,NA,132.47,277371392
"3437",2011-03-03,26.2,0.12,0.0046,68271504,18.6,NA,133.47,176485104
"3438",2011-03-02,26.08,-0.08,-0.0031,48658100,20.7,NA,131.21,200277792
"3439",2011-03-01,26.16,-0.42,-0.0158,60054900,21.01,NA,130.93,258599200
"3440",2011-02-28,26.58,0.03,0.0011,51379600,18.35,NA,133.15,135703392
"3441",2011-02-25,26.55,-0.22,-0.0082,53006200,19.22,NA,132.33,141693792
"3442",2011-02-24,26.77,0.18,0.0068,64499000,21.32,NA,130.93,260467104
"3443",2011-02-23,26.59,0,0,60234000,22.13,NA,131.02,227610096
"3444",2011-02-22,26.59,-0.47,-0.0174,60889000,20.8,NA,131.83,233116304
"3445",2011-02-18,27.06,-0.15,-0.0055,68672800,16.43,NA,134.53,130002304
"3446",2011-02-17,27.21,0.19,0.007,57211500,16.59,NA,134.25,109810400
"3447",2011-02-16,27.02,0.06,0.0022,70817800,16.72,NA,133.85,130183400
"3448",2011-02-15,26.96,-0.27,-0.0099,44120500,16.37,"Dividend",133.01,119575296
"3449",2011-02-14,27.23,-0.02,-7e-04,56766100,15.95,NA,133.43,101691104
"3450",2011-02-11,27.25,-0.25,-0.0091,83939600,15.69,NA,133.11,137716400
"3451",2011-02-10,27.5,-0.47,-0.0168,76672304,16.09,NA,132.32,162708400
"3452",2011-02-09,27.97,-0.31,-0.011,52905000,15.87,NA,132.27,146512000
"3453",2011-02-08,28.28,0.08,0.0028,34910400,15.81,NA,132.57,99072704
"3454",2011-02-07,28.2,0.43,0.0155,68980800,16.28,NA,131.97,112439000
"3455",2011-02-04,27.77,0.12,0.0043,40416600,15.93,NA,131.15,134634704
"3456",2011-02-03,27.65,-0.29,-0.0104,60340000,16.69,NA,130.78,145886592
"3457",2011-02-02,27.94,-0.05,-0.0018,45836400,17.3,NA,130.49,118323600
"3458",2011-02-01,27.99,0.26,0.0094,62744400,17.63,NA,130.74,167194208
"3459",2011-01-31,27.73,-0.02,-7e-04,65028900,19.53,NA,128.68,149249104
"3460",2011-01-28,27.75,-1.12,-0.0388,141259104,20.04,NA,127.72,295637184
"3461",2011-01-27,28.87,0.09,0.0031,146938592,16.15,"Earnings",129.99,123302600
"3462",2011-01-26,28.78,0.33,0.0116,74628704,16.64,NA,129.67,141281408
"3463",2011-01-25,28.45,0.07,0.0025,42436500,17.59,NA,129.17,167552096
"3464",2011-01-24,28.38,0.36,0.0128,52055800,17.65,NA,129.1,113715400
"3465",2011-01-21,28.02,-0.33,-0.0116,58080200,18.47,NA,128.37,151462800
"3466",2011-01-20,28.35,-0.12,-0.0042,58621900,17.99,NA,128.08,175745600
"3467",2011-01-19,28.47,-0.19,-0.0066,50005800,17.31,NA,128.25,151958304
"3468",2011-01-18,28.66,0.36,0.0127,53332600,15.87,NA,129.52,114401200
"3469",2011-01-14,28.3,0.11,0.0039,62691100,15.46,NA,129.3,117677800
"3470",2011-01-13,28.19,-0.36,-0.0126,67082700,16.39,NA,128.37,129229104
"3471",2011-01-12,28.55,0.44,0.0157,52636700,16.24,NA,128.58,107929104
"3472",2011-01-11,28.11,-0.11,-0.0039,50308400,16.89,NA,127.43,110286896
"3473",2011-01-10,28.22,-0.38,-0.0133,57573400,17.54,NA,126.98,122401600
"3474",2011-01-07,28.6,-0.22,-0.0076,73761904,17.14,NA,127.14,156034496
"3475",2011-01-06,28.82,0.82,0.0293,88026200,17.4,NA,127.39,122519000
"3476",2011-01-05,28,-0.09,-0.0032,58998200,17.02,NA,127.64,133975200
"3477",2011-01-04,28.09,0.11,0.0039,54409500,17.38,NA,126.98,137409600
"3478",2011-01-03,27.98,0.07,0.0025,53450100,17.61,NA,127.05,138725200
"3479",2010-12-31,27.91,0.06,0.0022,24791300,17.75,NA,125.75,91270200
"3480",2010-12-30,27.85,-0.12,-0.0043,20790400,17.52,NA,125.72,76616800
"3481",2010-12-29,27.97,-0.04,-0.0014,19505900,17.28,NA,125.92,58033000
"3482",2010-12-28,28.01,-0.06,-0.0021,23049200,17.52,NA,125.83,55309000
"3483",2010-12-27,28.07,-0.23,-0.0081,21654800,17.67,NA,125.65,58125900
"3484",2010-12-23,28.3,0.11,0.0039,24913700,16.47,NA,125.6,70079200
"3485",2010-12-22,28.19,0.12,0.0043,42255700,15.45,NA,125.78,78878000
"3486",2010-12-21,28.07,0.26,0.0093,38152900,16.49,NA,125.39,94965400
"3487",2010-12-20,27.81,-0.09,-0.0032,52810900,16.41,NA,124.6,119085400
"3488",2010-12-17,27.9,-0.09,-0.0032,87456400,16.11,NA,124.3,141075200
"3489",2010-12-16,27.99,0.14,0.005,57680100,17.39,NA,124.82,185030208
"3490",2010-12-15,27.85,0.23,0.0083,69634200,17.94,NA,124.1,159686096
"3491",2010-12-14,27.62,0.37,0.0136,64095000,17.61,NA,124.67,147249504
"3492",2010-12-13,27.25,-0.09,-0.0033,47943800,17.55,NA,124.56,133812600
"3493",2010-12-10,27.34,0.26,0.0096,37629000,17.61,NA,124.48,117571600
"3494",2010-12-09,27.08,-0.15,-0.0055,47148200,17.25,NA,123.76,123705000
"3495",2010-12-08,27.23,0.36,0.0134,41666700,17.74,NA,123.28,138019104
"3496",2010-12-07,26.87,0.03,0.0011,57860400,17.99,NA,122.83,206580896
