Time,Open,High,Low,Last,Change,%Chg,Volume
2/1/2023,405.21,413.67,402.35,410.8,4.32,1.06%,101459100
1/31/2023,401.13,406.53,400.77,406.48,5.89,1.47%,86811700
1/30/2023,402.8,405.13,400.28,400.59,-5.09,-1.25%,74202000
1/27/2023,403.65,408.16,403.44,405.68,0.93,0.23%,68346100
1/26/2023,403.13,404.92,400.03,404.75,4.4,1.10%,72287400
1/25/2023,395.95,400.7,393.56,400.35,0.15,0.04%,84800200
1/24/2023,398.88,401.15,397.64,400.2,-0.43,-0.11%,59524900
1/23/2023,396.72,402.645,395.72,400.63,4.75,1.20%,84178800
1/20/2023,390.1,396.04,388.38,395.88,7.24,1.86%,91806300
1/19/2023,389.36,391.08,387.26,388.64,-2.85,-0.73%,86958900
1/18/2023,399.01,400.12,391.28,391.49,-6.28,-1.58%,99632200
1/17/2023,398.48,400.23,397.06,397.77,-0.73,-0.18%,62677200
1/13/2023,393.62,399.1,393.34,398.5,1.54,0.39%,63903900
1/12/2023,396.67,398.485,392.42,396.96,1.44,0.36%,90157600
1/11/2023,392.23,395.6,391.38,395.52,4.94,1.26%,68881000
1/10/2023,387.25,390.65,386.27,390.58,2.72,0.70%,65358000
1/9/2023,390.37,393.7,387.67,387.86,-0.22,-0.06%,73978000
1/6/2023,382.61,389.25,379.4127,388.08,8.7,2.29%,104189600
1/5/2023,381.72,381.84,378.76,379.38,-4.38,-1.14%,76970400
1/4/2023,383.18,385.88,380,383.76,2.94,0.77%,85934100
1/3/2023,384.37,386.43,377.831,380.82,-1.61,-0.42%,74850700
12/30/2022,380.64,382.58,378.43,382.43,-1.01,-0.26%,84022200
12/29/2022,379.63,384.35,379.08,383.44,6.78,1.80%,66970800
12/28/2022,381.33,383.39,376.42,376.66,-4.74,-1.24%,70911500
12/27/2022,382.79,383.15,379.65,381.4,-1.51,-0.39%,51638100
12/23/2022,379.65,383.06,378.03,382.91,2.19,0.58%,59857300
12/22/2022,383.05,386.2134,374.77,380.72,-5.51,-1.43%,100120800
12/21/2022,383.25,387.41,382.69,386.23,5.69,1.50%,78167300
12/20/2022,379.23,382.23,377.85,380.54,0.52,0.14%,74427200
12/19/2022,383.47,383.82,378.28,380.02,-3.25,-0.85%,79878100
12/16/2022,385.18,386.575,381.04,383.27,-6.36,-1.63%,119857900
12/15/2022,394.3,395.25,387.885,389.63,-9.77,-2.45%,117705800
12/14/2022,401.61,405.5,396.31,399.4,-2.57,-0.64%,108111300
12/13/2022,410.22,410.49,399.07,401.97,3.02,0.76%,123782500
12/12/2022,394.11,398.95,393.412,398.95,5.67,1.44%,75405800
12/9/2022,394.94,397.62,393.15,393.28,-2.96,-0.75%,81447700
12/8/2022,395.14,397.36,393.2684,396.24,3.08,0.78%,60737900
12/7/2022,392.94,395.64,391.97,393.16,-0.67,-0.17%,65927800
12/6/2022,399.42,399.99,391.64,393.83,-5.76,-1.44%,77972200
12/5/2022,403.95,404.93,398.17,399.59,-7.32,-1.80%,77289800
12/2/2022,402.25,407.86,402.14,406.91,-0.47,-0.12%,85342700
12/1/2022,408.77,410,404.75,407.38,-0.3,-0.07%,76398100
11/30/2022,395.49,407.68,393.48,407.68,12.45,3.15%,144566600
11/29/2022,396.05,397.3,393.3,395.23,-0.68,-0.17%,52310000
11/28/2022,399.09,400.81,395.11,395.91,-6.42,-1.60%,68021700
11/25/2022,401.83,402.91,401.535,402.33,-0.09,-0.02%,30545400
11/23/2022,399.55,402.93,399.31,402.42,2.52,0.63%,68261600
11/22/2022,396.63,400.07,395.1527,399.9,5.31,1.35%,60429000
11/21/2022,394.64,395.82,392.66,394.59,-1.44,-0.36%,51243100
11/18/2022,397.74,397.81,393.04,396.03,1.79,0.45%,92922400
11/17/2022,390.46,394.95,390.14,394.24,-1.21,-0.31%,74496200
11/16/2022,396.78,397.78,394.79,395.45,-3.04,-0.76%,68508400
11/15/2022,401.15,402.31,394.49,398.49,3.37,0.85%,93194400
11/14/2022,396.66,400.1799,394.83,395.12,-3.39,-0.85%,71893100
11/11/2022,395.59,399.35,393.61,398.51,3.82,0.97%,93839800
11/10/2022,388.05,395.04,385.642,394.69,20.56,5.50%,141455800
11/9/2022,379.93,381.14,373.61,374.13,-7.87,-2.06%,78495400
11/8/2022,381.11,385.12,377.72,382,2.05,0.54%,84641000
11/7/2022,377.71,380.57,375.53,379.95,3.6,0.96%,68286900
11/4/2022,377,378.87,370,376.35,5.34,1.44%,103505100
11/3/2022,371.465,374.2,368.79,371.01,-3.86,-1.03%,87100100
