"ClientID","Line","LayerNumber","CarrierNumber","Attachment","Limit","Capacity","Premium","PPM","Weight","LayerAttachment","LayerLimit","LayerCapacity","LayerPremium","Relativity","SIC.Code"
48,"XS",1,2,3.5e+07,12500000,47500000,235200,18816,0.5,3.5e+07,2.5e+07,6e+07,470400,0.28126,4841
48,"XS",2,1,6e+07,12500000,72500000,165000,13200,0.5,6e+07,2.5e+07,8.5e+07,330375,0.70233,4841
48,"XS",2,2,6e+07,12500000,72500000,165375,13230,0.5,6e+07,2.5e+07,8.5e+07,330375,0.70233,4841
48,"XS",3,1,8.5e+07,1e+07,9.5e+07,105000,10500,0.5,8.5e+07,2e+07,1.05e+08,210000,0.79455,4841
48,"XS",3,2,8.5e+07,1e+07,9.5e+07,105000,10500,0.5,8.5e+07,2e+07,1.05e+08,210000,0.79455,4841
48,"XS",4,1,1.05e+08,2.5e+07,1.3e+08,222772,8911,1,1.05e+08,2.5e+07,1.3e+08,222772,0.84866,4841
51,"UM",0,1,5e+06,1.5e+07,2e+07,451100,30073,1,5e+06,1.5e+07,2e+07,451100,NA,7217
51,"XS",1,1,1.5e+07,1e+07,2.5e+07,165000,16500,1,1.5e+07,1e+07,2.5e+07,165000,0.54866,7217
51,"XS",2,1,2.5e+07,1e+07,3.5e+07,137500,13750,0.5,2.5e+07,2e+07,4.5e+07,275000,0.83333,7217
51,"XS",2,2,2.5e+07,1e+07,3.5e+07,137500,13750,0.5,2.5e+07,2e+07,4.5e+07,275000,0.83333,7217
51,"XS",3,1,4e+07,12500000,52500000,137500,11000,0.5,4e+07,2.5e+07,6.5e+07,275000,0.8,7217
51,"XS",3,2,4e+07,12500000,52500000,137500,11000,0.5,4e+07,2.5e+07,6.5e+07,275000,0.8,7217
51,"XS",4,1,7e+07,1e+07,8e+07,95500,9550,1,7e+07,1e+07,8e+07,95500,0.86818,7217
51,"XS",5,1,8e+07,1.5e+07,9.5e+07,129000,8600,1,8e+07,1.5e+07,9.5e+07,129000,0.90052,7217
51,"XS",6,1,9.5e+07,1.5e+07,1.1e+08,109500,7300,1,9.5e+07,1.5e+07,1.1e+08,109500,0.84884,7217
51,"XS",7,1,1.1e+08,1.5e+07,1.25e+08,107250,7150,1,1.1e+08,1.5e+07,1.25e+08,107250,0.97945,7217
51,"XS",8,1,1.25e+08,1e+07,1.35e+08,70000,7000,1,1.25e+08,1e+07,1.35e+08,70000,0.97902,7217
51,"XS",9,1,1.35e+08,1e+07,1.45e+08,68500,6850,0.182,1.35e+08,5.5e+07,1.9e+08,376750,0.97857,7217
51,"XS",9,2,1.35e+08,1.5e+07,1.5e+08,102750,6850,0.273,1.35e+08,5.5e+07,1.9e+08,376750,0.97857,7217
51,"XS",9,3,1.35e+08,2e+07,1.55e+08,137000,6850,0.364,1.35e+08,5.5e+07,1.9e+08,376750,0.97857,7217
51,"XS",9,4,1.35e+08,1e+07,1.45e+08,68500,6850,0.182,1.35e+08,5.5e+07,1.9e+08,376750,0.97857,7217
51,"XS",10,1,1.9e+08,1e+07,2e+08,46357,4636,1,1.9e+08,1e+07,2e+08,46357,0.67674,7217
52,"UM",0,1,2e+06,1.5e+07,1.7e+07,635000,42333,1,2e+06,1.5e+07,1.7e+07,635000,NA,5531
52,"XS",1,1,1.5e+07,5e+06,2e+07,85000,17000,1,1.5e+07,5e+06,2e+07,85000,0.40157,5531
53,"UM",0,1,5e+06,1e+07,1.5e+07,217921,21792,1,5e+06,1e+07,1.5e+07,217921,NA,NA
53,"XS",1,1,1e+07,1.5e+07,2.5e+07,175000,11667,1,1e+07,1.5e+07,2.5e+07,175000,0.53536,NA
53,"XS",2,1,2.5e+07,2.5e+07,5e+07,170000,6800,1,2.5e+07,2.5e+07,5e+07,170000,0.58286,NA
53,"XS",3,1,5e+07,2.5e+07,7.5e+07,1e+05,4000,1,5e+07,2.5e+07,7.5e+07,1e+05,0.58824,NA
53,"XS",4,1,7.5e+07,2.5e+07,1e+08,57000,2280,1,7.5e+07,2.5e+07,1e+08,57000,0.57,NA
53,"XS",5,1,1e+08,2.5e+07,1.25e+08,38224,1529,1,1e+08,2.5e+07,1.25e+08,38224,0.6706,NA
